year,省份,地区,did,time,人口规模,人口密度,经济发展水平,金融发展程度,城镇化水平,政府干预程度,财政投资力度,财政分权度,产业结构整体升级,产业结构高级化,产业结构合理化,教育水平支出,科学技术水平,科教支出,人力资本,人力资本存量,环境规制,基础设施,市场化水平,高质量发展指数,产业结构高级化2,产业结构合理化2,生产性服务业占比,包容性TFP指数,创新指数,二氧化硫去除率,工业固废综合利用率,pm25,人均GDP,city
2017,甘肃省,兰州市,1,2013.0,5.7868971824646,5.109333515167236,11.114304542541504,7.266968250274658,0.8101999759674072,0.1718418449163437,5.073012351989746,0.5454614758491516,2.6115500926971436,1.8321714401245117,0.05848754942417145,0.18708015978336334,0.015802770853042603,871101,865,469068,90.5199966430664,40,1.167365550994873,0.3972319960594177,0.695195734500885,0.2910240888595581,0.228495791554451,0.16752465069293976,0.3480864465236664,0.20120197534561157,0.17049197852611542,0.19000400602817535,32576.599609375,兰州市
2018,甘肃省,兰州市,1,2013.0,5.793013572692871,4.8307905197143555,11.198789596557617,7.2180352210998535,0.8102999925613403,0.17038141191005707,5.079779148101807,0.5440167784690857,2.6254000663757324,1.868006944656372,0.03195301070809364,0.17176254093647003,0.01300828531384468,860370,864,517894,96.4800033569336,44,1.5205154418945312,0.4399639964103699,0.7821679711341858,0.35583409667015076,0.23020675778388977,0.19194309413433075,0.3707224726676941,0.23700420558452606,0.2034173607826233,0.21395009756088257,37743.6328125,兰州市
2019,甘肃省,兰州市,1,2013.0,5.8051347732543945,4.443356990814209,11.228132247924805,7.3544111251831055,0.8104000091552734,0.1609664112329483,5.589605331420898,0.5107196569442749,2.63070011138916,1.9468787908554077,0.048804424703121185,0.19333218038082123,0.017287852242588997,961821,864,571796,96.0,47,1.7938121557235718,0.4548180103302002,0.8157160878181458,0.31965065002441406,0.2578818202018738,0.2100486010313034,0.3778355121612549,0.250286340713501,0.19310662150382996,0.18505634367465973,38769.59765625,兰州市
2020,甘肃省,兰州市,1,2013.0,5.811141014099121,3.802431344985962,11.107660293579102,7.618555545806885,0.8309999704360962,0.16842427849769592,5.634573459625244,0.5082480907440186,2.636899948120117,2.0315496921539307,0.045020751655101776,0.16954559087753296,0.015649650245904922,900495,864,631302,96.44000244140625,50,2.109966993331909,0.4262399971485138,0.5316491723060608,0.38219234347343445,0.25193342566490173,0.2008187174797058,0.3711399435997009,0.22040444612503052,0.18870070576667786,0.19933965802192688,38341.9921875,兰州市
2021,甘肃省,兰州市,1,2013.0,5.817111015319824,1.5173226594924927,11.209208488464355,7.299722671508789,0.8356000185012817,0.14998112618923187,6.040091037750244,0.5710569024085999,2.6171000003814697,1.8445475101470947,0.027826201170682907,0.16775618493556976,0.013344298116862774,877593,864,696994,96.58000183105469,53,2.47991943359375,0.47658398747444153,0.8415520191192627,0.34988415241241455,0.27878257632255554,0.2222406566143036,0.40827998518943787,0.26163986325263977,0.22502389550209045,0.19459401071071625,39377.27734375,兰州市
2005,四川省,内江市,0,,6.041016101837158,6.659793853759766,8.769041061401367,1.5769963264465332,0.34700000286102295,0.12042306363582611,2.52907657623291,0.24680982530117035,2.0966999530792236,0.7488043904304504,0.5229142904281616,0.14842283725738525,0.0017042489489540458,46071,59,13754,86.69000244140625,10,0.22751101851463318,0.19009999930858612,0.25897324085235596,0.1546444445848465,0.09519637376070023,0.08819879591464996,0.17034099996089935,0.10678677260875702,0.07743533700704575,0.087624691426754,15474.5205078125,内江市
2006,四川省,内江市,0,,6.045313358306885,6.664090156555176,8.935640335083008,1.4831386804580688,0.3580000102519989,0.12391241639852524,2.469202995300293,0.2380957454442978,2.1087000370025635,0.655754804611206,0.4235231280326843,0.16336889564990997,0.0021696449257433414,61801,59,14914,83.70999908447266,10,0.2633717954158783,0.15600000321865082,0.2709876000881195,0.12075336277484894,0.0829295963048935,0.06726408004760742,0.13758575916290283,0.07967700064182281,0.07389096170663834,0.0741436779499054,13493.5322265625,内江市
2007,四川省,内江市,0,,6.049332618713379,6.668113708496094,9.151863098144531,1.318421483039856,0.3700000047683716,0.13320721685886383,2.2912492752075195,0.22864316403865814,2.077699899673462,0.5944353938102722,0.4707634150981903,0.20731690526008606,0.003793518990278244,105346,59,16400,86.86000061035156,10,0.33968424797058105,0.20638799667358398,0.2919771075248718,0.14983148872852325,0.10916274040937424,0.09457110613584518,0.18264925479888916,0.11914985626935959,0.08439618349075317,0.10038506239652634,17292.42578125,内江市
2008,四川省,内江市,0,,6.052206993103027,6.670994281768799,9.418086051940918,1.1973248720169067,0.38100001215934753,0.12516222894191742,2.828335762023926,0.22599531710147858,2.0625998973846436,0.4901230037212372,0.4608592391014099,0.17000332474708557,0.0045652310363948345,106686,57,19472,83.54000091552734,10,0.2555944323539734,0.2163279950618744,0.4014831483364105,0.15881936252117157,0.12173642218112946,0.09672240912914276,0.18423141539096832,0.1286870390176773,0.10158546268939972,0.10621920973062515,17619.267578125,内江市
2009,四川省,内江市,0,,6.053523540496826,6.672311305999756,9.559235572814941,1.574960708618164,0.39340001344680786,0.1326543092727661,3.519853115081787,0.2174418568611145,2.0797998905181885,0.44852423667907715,0.4221504032611847,0.1823522448539734,0.003812977112829685,138514,48,20243,87.05000305175781,11,0.3213282823562622,0.21483199298381805,0.23017100989818573,0.18748389184474945,0.1264372318983078,0.10454369336366653,0.17362722754478455,0.1140500083565712,0.09353140741586685,0.08781043440103531,19184.068359375,内江市
2010,四川省,内江市,0,,6.053335666656494,6.672121524810791,9.799348831176758,1.2556697130203247,0.3935999870300293,0.1339685618877411,3.7948315143585205,0.2204427719116211,2.0666000843048096,0.37742677330970764,0.3935292661190033,0.17815707623958588,0.0033424999564886093,167843,49,21000,83.3499984741211,10,0.34535855054855347,0.22553999722003937,0.33382174372673035,0.20049378275871277,0.12890513241291046,0.09977889806032181,0.19675658643245697,0.12247273325920105,0.09998864680528641,0.103863425552845,18489.318359375,内江市
2011,四川省,内江市,0,,6.05467414855957,6.673639297485352,10.045941352844238,1.217783808708191,0.40230000019073486,0.1427764594554901,3.137148141860962,0.20738236606121063,2.0481998920440674,0.3388284146785736,0.528170645236969,0.1457386612892151,0.0034770509228110313,182086,50,21090,87.2699966430664,12,1.0471031665802002,0.22846999764442444,0.3815220594406128,0.16355709731578827,0.12951964139938354,0.11123747378587723,0.18978774547576904,0.11583657562732697,0.10630252212285995,0.09683243930339813,19380.880859375,内江市
2012,四川省,内江市,0,,6.055846691131592,6.674763202667236,10.178881645202637,1.3236163854599,0.41839998960494995,0.1451955884695053,3.181440830230713,0.21774782240390778,2.04229998588562,0.33557799458503723,0.5608077049255371,0.20772019028663635,0.0046321977861225605,301599,52,22227,83.12999725341797,16,0.9066880941390991,0.211776003241539,0.3014419674873352,0.15561088919639587,0.11889740079641342,0.09756520390510559,0.1747702658176422,0.11800794303417206,0.09189384430646896,0.0899052619934082,18116.376953125,内江市
2013,四川省,内江市,0,,6.0563154220581055,6.675381660461426,10.128349304199219,1.4884856939315796,0.42669999599456787,0.11165212094783783,4.749677658081055,0.31617143750190735,2.051800012588501,0.35042044520378113,0.5600616335868835,0.25917965173721313,0.005501932930201292,316015,138,23428,90.5999984741211,12,0.8199678659439087,0.25113001465797424,0.47393253445625305,0.19024352729320526,0.13060517609119415,0.10734552145004272,0.22120535373687744,0.1431315392255783,0.12160970270633698,0.10367148369550705,20911.595703125,内江市
2014,四川省,内江市,0,,6.054439544677734,6.67331075668335,10.34251594543457,1.5062860250473022,0.44209998846054077,0.14478346705436707,3.477050304412842,0.2691831588745117,2.0697999000549316,0.3700992465019226,0.5323664546012878,0.19335687160491943,0.005339097231626511,332779,63,26661,86.1500015258789,13,1.1129108667373657,0.22555600106716156,0.27497532963752747,0.1853732019662857,0.11759362369775772,0.1054045706987381,0.1922706961631775,0.12413249164819717,0.1038459837436676,0.09251179546117783,18442.8125,内江市
2015,四川省,内江市,0,,6.041277885437012,6.6590375900268555,10.375988006591797,1.5771535634994507,0.4560999870300293,0.16055436432361603,4.04685640335083,0.26121899485588074,2.08240008354187,0.403573215007782,0.5505295991897583,0.20549790561199188,0.008689076639711857,412175,64,26772,91.72000122070312,13,1.1616554260253906,0.2585799992084503,0.31197676062583923,0.23116534948349,0.1532241702079773,0.10797783732414246,0.21002642810344696,0.14138120412826538,0.10679870843887329,0.11654976010322571,21192.181640625,内江市
2016,四川省,内江市,0,,6.040254592895508,6.644557476043701,10.453543663024902,1.6171735525131226,0.46700000762939453,0.15429794788360596,4.387604713439941,0.26809388399124146,2.113300085067749,0.4740157425403595,0.5079380869865417,0.18891313672065735,0.005657549947500229,389585,63,29179,92.87000274658203,13,1.327733039855957,0.2653200030326843,0.38450175523757935,0.21605007350444794,0.1589478999376297,0.11184298992156982,0.22484543919563293,0.15489646792411804,0.10628984868526459,0.11082947254180908,23175.4375,内江市
2017,四川省,内江市,0,,6.028278350830078,6.6298651695251465,10.49891185760498,1.6945421695709229,0.4790000021457672,0.16055993735790253,4.49757194519043,0.25789839029312134,2.184999942779541,0.6899755001068115,0.5006021857261658,0.18190410733222961,0.007774269208312035,412574,63,28420,97.93000030517578,13,1.2479357719421387,0.287416011095047,0.5192744731903076,0.23205679655075073,0.16752329468727112,0.13610009849071503,0.24171972274780273,0.16530156135559082,0.14180530607700348,0.12499146908521652,24568.3203125,内江市
2018,四川省,内江市,0,,6.021023273468018,6.614953517913818,10.54231071472168,1.8070106506347656,0.4909999966621399,0.1724010854959488,4.4292893409729,0.25348785519599915,2.256700038909912,0.9521608352661133,0.3213111460208893,0.17328204214572906,0.006899693980813026,438540,63,28347,96.69999694824219,13,0.3160635232925415,0.2469239979982376,0.4023626446723938,0.179681658744812,0.14216402173042297,0.1101108193397522,0.21607084572315216,0.1310499757528305,0.11779262870550156,0.11889390647411346,21146.818359375,内江市
2019,四川省,内江市,0,,6.011267185211182,6.599815845489502,10.564704895019531,1.9677414894104004,0.5058000087738037,0.18984612822532654,4.329324245452881,0.23391036689281464,2.3231000900268555,1.434630036354065,0.46337586641311646,0.17453625798225403,0.005899293813854456,490874,63,28340,99.20999908447266,13,0.35367491841316223,0.2863380014896393,0.33455732464790344,0.2465541958808899,0.15441349148750305,0.12425637245178223,0.24609605967998505,0.16219043731689453,0.139844611287117,0.11853820830583572,24049.814453125,内江市
2020,四川省,内江市,0,,6.005120754241943,6.584445953369141,10.741340637207031,2.1822924613952637,0.5006999969482422,0.18864120543003082,4.6196208000183105,0.23987843096256256,2.306299924850464,1.4992347955703735,0.5307285189628601,0.18038351833820343,0.004037634935230017,510013,63,28339,96.83000183105469,13,0.389580637216568,0.27535998821258545,0.2997018098831177,0.22700953483581543,0.1431734263896942,0.1204644963145256,0.24042783677577972,0.15582622587680817,0.13384424149990082,0.11613032966852188,24217.361328125,内江市
2021,四川省,内江市,0,,5.998936653137207,6.568836212158203,10.846945762634277,2.178835391998291,0.5108000040054321,0.15849757194519043,5.410799503326416,0.28480347990989685,2.326900005340576,1.522096872329712,0.4899528920650482,0.17843377590179443,0.0030736939515918493,462022,63,28339,99.08000183105469,13,0.42389413714408875,0.3222599923610687,0.515454888343811,0.26392126083374023,0.18864133954048157,0.13100191950798035,0.2763443887233734,0.1616327315568924,0.13441786170005798,0.1351558417081833,27194.876953125,内江市
2005,内蒙古自治区,包头市,0,,5.3438639640808105,4.322542190551758,10.60799503326416,1.1967538595199585,0.6805999875068665,0.08884668350219727,7.426651954650879,0.7747562527656555,2.3966000080108643,0.8170501589775085,0.03011559695005417,0.09597090631723404,0.0024507949128746986,74214,380,46072,49.20000076293945,135,1.0591230392456055,0.09769999980926514,0.10843723267316818,0.08029083907604218,0.050920262932777405,0.043310411274433136,0.0793021097779274,0.05135014280676842,0.045888714492321014,0.04643876478075981,7886.24609375,包头市
2006,内蒙古自治区,包头市,0,,5.358518600463867,4.337160110473633,10.776912689208984,1.3247759342193604,0.7310000061988831,0.0969901755452156,6.430441379547119,0.6893259882926941,2.388400077819824,0.7808117866516113,0.017467420548200607,0.0989001914858818,0.002185329096391797,99035,416,55276,49.189998626708984,143,1.2642377614974976,0.09739600121974945,0.1875554770231247,0.07523548603057861,0.04927750676870346,0.04211500287055969,0.08039844781160355,0.054632339626550674,0.04785260185599327,0.04802791774272919,8417.0595703125,包头市
2007,内蒙古自治区,包头市,0,,5.368775844573975,4.347434997558594,10.997405052185059,1.2257989645004272,0.746999979019165,0.08957074582576752,7.386389255523682,0.6708729863166809,2.4147000312805176,0.8739316463470459,0.015879027545452118,0.13084398210048676,0.01460232399404049,166390,380,60269,49.16999816894531,141,1.8170994520187378,0.08850599825382233,0.13505131006240845,0.06793101131916046,0.048920806497335434,0.040886230766773224,0.07555580139160156,0.04738699644804001,0.03927011042833328,0.04312985762953758,7250.234375,包头市
2008,内蒙古自治区,包头市,0,,5.38339376449585,4.36207914352417,11.156307220458984,1.0416055917739868,0.7590000033378601,0.08702713996171951,7.429745674133301,0.6299014091491699,2.3703999519348145,0.7012622952461243,0.021703772246837616,0.12029136717319489,0.013641875237226486,205143,416,68315,49.119998931884766,139,1.879514455795288,0.10763200372457504,0.11432670801877975,0.07657048106193542,0.05603967607021332,0.04783811792731285,0.08968006074428558,0.05528087168931961,0.04960973933339119,0.04516454041004181,9563.6416015625,包头市
2009,内蒙古自治区,包头市,0,,5.3917622566223145,4.370460033416748,11.350159645080566,1.0061854124069214,0.7789999842643738,0.09017132967710495,7.671469211578369,0.6663414239883423,2.406899929046631,0.7984496355056763,0.013293362222611904,0.12268911302089691,0.01392438542097807,267166,380,83349,49.029998779296875,138,2.2266554832458496,0.06669999659061432,0.07592461258172989,0.05485408008098602,0.03828379884362221,0.027785219252109528,0.055681828409433365,0.03551441431045532,0.03253025561571121,0.027264291420578957,5949.306640625,包头市
2010,内蒙古自治区,包头市,0,,5.3927178382873535,4.371470928192139,11.45390796661377,1.1146341562271118,0.7949000000953674,0.08329033851623535,8.784578323364258,0.6790683269500732,2.404900074005127,0.7981888651847839,0.012741434387862682,0.1374007910490036,0.014259736984968185,310846,384,84502,48.84000015258789,138,2.503249406814575,0.07181999832391739,0.08893470466136932,0.05655178427696228,0.03895875811576843,0.03337044641375542,0.06110948324203491,0.03673090413212776,0.029545312747359276,0.030117716640233994,5947.9169921875,包头市
2011,内蒙古自治区,包头市,0,,5.40177583694458,4.380275249481201,11.629570007324219,1.0889017581939697,0.8050000071525574,0.08360697329044342,8.598628997802734,0.6441499590873718,2.3928000926971436,0.756722629070282,0.014169531874358654,0.1453697234392166,0.014548354782164097,401830,304,67514,48.459999084472656,137,2.3706603050231934,0.120899997651577,0.2344130128622055,0.09685178101062775,0.06500067561864853,0.05777810886502266,0.09679737687110901,0.06979798525571823,0.0572606585919857,0.051030680537223816,10821.8798828125,包头市
