term,coefficient,std_error,t_stat,p_value,ci_lower,ci_upper
const,9.115373409879439,0.012829113732485983,710.5224569642265,0.0,9.090221913802786,9.140524905956092
did,0.036840991686721836,0.027758911635498217,1.3271770943501047,0.18451873522533496,-0.01758039482920192,0.0912623782026456
地区_三亚市,0.647371404313663,2.952575736465282e-12,219256494022.6302,0.0,0.6473714043078745,0.6473714043194515
地区_三明市,0.6957772198845338,5.834946766810486e-13,1192431135519.7869,0.0,0.6957772198833898,0.6957772198856778
地区_三门峡市,0.5693763284123086,6.493010123784143e-13,876906577315.5989,0.0,0.5693763284110356,0.5693763284135815
地区_上饶市,-0.2937882367298693,8.973075166391731e-13,-327410872284.0533,0.0,-0.29378823673162846,-0.29378823672811016
地区_东莞市,1.0854123059445064,9.23491340935976e-13,1175335661344.0688,0.0,1.0854123059426959,1.085412305946317
地区_东营市,1.6251670726903251,0.016328771550056225,99.52782226809519,0.0,1.5931544923873049,1.6571796529933454
地区_中卫市,-0.21977248683279793,0.013063017240153154,-16.82402180081799,1.3025233771513495e-61,-0.2453825510754262,-0.19416242259016966
地区_中山市,1.1207632738003008,7.2575628013831e-13,1544269480639.8547,0.0,1.120763273798878,1.1207632738017237
地区_临汾市,-0.00041866302425539885,1.1558618551274046e-12,-362208530.71516216,0.0,-0.0004186630265214677,-0.00041866302198933
地区_临沂市,0.15316357332125397,6.450793507320865e-13,237433694238.44052,0.0,0.15316357331998928,0.15316357332251865
地区_临沧市,-0.5695674559647884,6.965364920234761e-13,-817713734294.3285,0.0,-0.569567455966154,-0.5695674559634228
地区_丹东市,0.1967952952670467,1.018000491497166e-12,193315520877.22598,0.0,0.1967952952650509,0.1967952952690425
地区_丽水市,0.40035965863485096,1.3963668474068522e-12,286715242042.8385,0.0,0.40035965863211337,0.40035965863758854
地区_丽江市,-0.4048956702736481,6.43750076305594e-13,-628964073444.9255,0.0,-0.40489567027491014,-0.40489567027238604
地区_乌兰察布市,0.15832766364651985,1.014406451010264e-12,156079117486.72214,0.0,0.1583276636445311,0.1583276636485086
地区_乌海市,1.1045140773002702,0.0163287715501515,67.64220283858539,0.0,1.0725014969970632,1.1365266576034772
地区_乌鲁木齐市,0.8109743332987573,0.014695894395160945,55.183734415361236,0.0,0.7821630110258229,0.8397856555716918
